MariaDB [adday]> source lab4queries.sql
+--------------+-----------+---------------+--------------+
| ISBN         | member_id | checkout_date | checkin_date |
+--------------+-----------+---------------+--------------+
| 964210310001 |      1100 | 2016-04-27    | 2016-04-30   |
| 964210310001 |      1300 | 2016-03-28    | 2016-04-04   |
| 964210310001 |      2016 | 2016-04-07    | 2016-04-08   |
| 964210310001 |      2021 | 2016-05-21    | 2016-05-26   |
| 964210310002 |      1600 | 2016-05-04    | 2016-05-09   |
| 964210310002 |      2009 | 2016-04-12    | 2016-04-13   |
| 964210310002 |      2012 | 2016-05-27    | 9999-01-01   |
| 964210310003 |      1100 | 2016-03-23    | 2016-03-24   |
| 964210310003 |      2022 | 2016-05-06    | 2016-05-09   |
| 964210310004 |      1500 | 2016-05-14    | 2016-05-16   |
| 964210310004 |      1700 | 2016-04-05    | 2016-04-11   |
| 964210310004 |      2017 | 2016-03-14    | 2016-03-16   |
| 964210310004 |      2018 | 2016-03-25    | 2016-03-27   |
| 964210310005 |      2000 | 2016-05-17    | 2016-05-21   |
| 964210310006 |      2000 | 2016-05-08    | 2016-05-11   |
| 964210310006 |      2002 | 2016-04-27    | 2016-05-02   |
| 964210310006 |      2011 | 2016-06-10    | 9999-01-01   |
| 964210310006 |      2012 | 2016-03-24    | 2016-03-28   |
| 964210310007 |      1300 | 2016-05-11    | 2016-05-12   |
| 964210310007 |      1400 | 2016-05-06    | 2016-05-11   |
| 964210310007 |      2004 | 2016-04-21    | 2016-04-23   |
| 964210310007 |      2009 | 2016-03-07    | 2016-03-13   |
| 964210310008 |      1300 | 2016-04-20    | 2016-04-26   |
| 964210310008 |      1400 | 2016-05-24    | 2016-05-29   |
| 964210310008 |      1900 | 2016-05-01    | 2016-05-01   |
| 964210310008 |      2002 | 2016-04-21    | 2016-04-25   |
| 964210310008 |      2012 | 2016-04-26    | 2016-04-28   |
| 964210310008 |      2013 | 2016-04-19    | 2016-04-23   |
| 964210310008 |      2018 | 2016-05-10    | 2016-05-10   |
| 964210310009 |      2009 | 2016-03-20    | 2016-03-22   |
| 964210310009 |      2012 | 2016-03-28    | 2016-03-29   |
| 964210310009 |      2015 | 2016-03-15    | 2016-03-19   |
| 964210310009 |      2019 | 2016-03-11    | 2016-03-12   |
| 964210310009 |      2022 | 2016-03-25    | 2016-03-29   |
| 964210310011 |      1600 | 2016-03-20    | 2016-03-20   |
| 964210310011 |      1800 | 2016-04-25    | 2016-04-26   |
| 964210310011 |      2005 | 2016-04-20    | 2016-04-22   |
| 964210310011 |      2011 | 2016-03-09    | 2016-03-11   |
| 964210310011 |      2011 | 2016-06-10    | 9999-01-01   |
| 964210310011 |      2022 | 2016-05-03    | 2016-05-06   |
| 964210310022 |      1300 | 2016-03-09    | 2016-03-10   |
| 964210310022 |      1400 | 2016-03-04    | 2016-03-07   |
| 964210310022 |      1400 | 2016-06-10    | 9999-01-01   |
| 964210310022 |      2009 | 2016-03-24    | 2016-03-30   |
| 964210310022 |      2009 | 2016-04-10    | 2016-04-10   |
| 964210310022 |      2020 | 2016-04-09    | 2016-04-10   |
| 964210310033 |      1400 | 2016-03-26    | 2016-03-29   |
| 964210310033 |      2003 | 2016-03-14    | 2016-03-15   |
| 964210310033 |      2007 | 2016-03-19    | 2016-03-24   |
| 964210310033 |      2009 | 2016-04-30    | 2016-05-02   |
| 964210310033 |      2013 | 2016-05-17    | 2016-05-21   |
| 964210310033 |      2016 | 2016-04-28    | 2016-04-30   |
| 964210310033 |      2018 | 2016-03-05    | 2016-03-07   |
| 964210310033 |      2018 | 2016-04-01    | 2016-04-07   |
| 964210310033 |      2021 | 2016-03-14    | 2016-03-16   |
| 964210310040 |      1100 | 2016-05-16    | 2016-05-16   |
| 964210310040 |      1700 | 2016-05-18    | 2016-05-21   |
| 964210310040 |      2001 | 2016-04-22    | 2016-04-25   |
| 964210310040 |      2002 | 2016-05-22    | 2016-05-27   |
| 964210310040 |      2003 | 2016-04-09    | 2016-04-14   |
| 964210310040 |      2004 | 2016-04-27    | 2016-05-02   |
| 964210310040 |      2011 | 2016-03-10    | 2016-03-16   |
| 964210310054 |      2009 | 2016-04-29    | 2016-05-02   |
| 964210310054 |      2013 | 2016-03-26    | 2016-03-29   |
| 964210310054 |      2021 | 2016-04-29    | 2016-04-30   |
| 964210310068 |      2003 | 2016-04-12    | 2016-04-16   |
| 964210310068 |      2007 | 2016-04-19    | 2016-04-20   |
| 964210310081 |      1100 | 2016-03-15    | 2016-03-17   |
| 964210310081 |      1200 | 2016-04-10    | 2016-04-16   |
| 964210310081 |      1700 | 2016-03-05    | 2016-03-08   |
| 964210310081 |      2002 | 2016-03-04    | 2016-03-06   |
| 964210310081 |      2011 | 2016-03-15    | 2016-03-20   |
| 964210310081 |      2022 | 2016-03-26    | 2016-03-30   |
| 964210310093 |      1200 | 2016-03-27    | 2016-03-29   |
| 964210310093 |      1800 | 2016-06-11    | 9999-01-01   |
| 964210310093 |      2000 | 2016-04-12    | 2016-04-12   |
| 964210310093 |      2011 | 2016-04-20    | 2016-04-20   |
| 964210310093 |      2017 | 2016-03-19    | 2016-03-23   |
| 964210310093 |      2020 | 2016-04-08    | 2016-04-12   |
| 964210310093 |      2022 | 2016-03-27    | 2016-03-29   |
| 964210310093 |      2022 | 2016-06-11    | 9999-01-01   |
| 964210310109 |      1200 | 2016-04-15    | 2016-04-18   |
| 964210310109 |      2000 | 2016-05-09    | 2016-05-11   |
| 964210310109 |      2022 | 2016-04-16    | 2016-04-21   |
| 964210310206 |      1300 | 2016-05-11    | 2016-05-14   |
| 964210310206 |      1600 | 2016-05-21    | 2016-05-27   |
| 964210310206 |      2016 | 2016-05-09    | 2016-05-14   |
| 964210310206 |      2016 | 2016-05-15    | 2016-05-15   |
| 964210310206 |      2018 | 2016-03-05    | 2016-03-11   |
| 964210310206 |      2018 | 2016-05-12    | 2016-05-17   |
| 964210310206 |      2020 | 2016-05-13    | 2016-05-18   |
| 964210310300 |      1600 | 2016-03-22    | 2016-03-24   |
| 964210310300 |      2017 | 2016-05-01    | 2016-05-05   |
| 964210310300 |      2017 | 2016-05-20    | 2016-05-26   |
| 964210310300 |      2018 | 2016-04-05    | 2016-04-10   |
| 964210310401 |      1100 | 2016-05-14    | 2016-05-16   |
| 964210310401 |      2020 | 2016-05-29    | 9999-01-01   |
| 964210310502 |      2008 | 2016-03-12    | 2016-03-14   |
| 964210310502 |      2022 | 2016-03-26    | 2016-04-01   |
| 964210310604 |      1100 | 2016-03-09    | 2016-03-10   |
| 964210310604 |      1100 | 2016-04-13    | 2016-04-17   |
| 964210310604 |      1700 | 2016-04-17    | 2016-04-18   |
| 964210310604 |      2012 | 2016-06-10    | 9999-01-01   |
| 964210310709 |      1100 | 2016-05-18    | 2016-05-21   |
| 964210310709 |      2007 | 2016-03-13    | 2016-03-17   |
| 964210310709 |      2009 | 2016-04-12    | 2016-04-15   |
| 964210310709 |      2009 | 2016-04-30    | 2016-05-03   |
| 964210310709 |      2012 | 2016-06-10    | 9999-01-01   |
| 964210310709 |      2017 | 2016-04-20    | 2016-04-25   |
| 964210310709 |      2018 | 2016-04-20    | 2016-04-25   |
| 964210310709 |      2020 | 2016-06-11    | 9999-01-01   |
| 964210310800 |      1400 | 2016-03-04    | 2016-03-06   |
| 964210310800 |      1500 | 2016-04-02    | 2016-04-05   |
| 964210310800 |      1600 | 2016-05-10    | 2016-05-13   |
| 964210310800 |      1700 | 2016-04-22    | 2016-04-28   |
| 964210310800 |      2004 | 2016-05-13    | 2016-05-17   |
| 964210310800 |      2004 | 2016-05-24    | 2016-05-28   |
| 964210310800 |      2006 | 2016-04-04    | 2016-04-04   |
| 964210310800 |      2011 | 2016-05-29    | 9999-01-01   |
| 964210310907 |      2004 | 2016-05-09    | 2016-05-10   |
| 964210310907 |      2016 | 2016-03-06    | 2016-03-08   |
| 964210310907 |      2016 | 2016-03-21    | 2016-03-22   |
| 964210310907 |      2016 | 2016-04-22    | 2016-04-28   |
| 964210310907 |      2018 | 2016-03-16    | 2016-03-20   |
| 964210311003 |      1400 | 2016-03-05    | 2016-03-10   |
| 964210311003 |      1700 | 2016-04-17    | 2016-04-20   |
| 964210311003 |      2008 | 2016-04-04    | 2016-04-08   |
| 964210311003 |      2011 | 2016-03-06    | 2016-03-08   |
